"","ftTrumpPre","ftTrumpPost","age"
"1468",0,0,50
"1469",100,100,62
"1470",100,100,24
"1471",0,0,67
"1472",100,100,48
"1473",0,0,39
"1474",100,100,25
"1475",0,0,69
"1476",15,15,25
"1477",85,95,66
"1478",0,0,61
"1479",0,0,62
"1480",100,100,38
"1481",60,-6,24
"1482",40,60,80
"1483",70,70,32
"1484",95,-6,64
"1485",100,85,74
"1486",85,60,30
"1487",0,0,63
"1488",0,0,41
"1489",85,30,67
"1490",0,0,72
"1491",35,35,22
"1492",0,0,45
"1493",0,0,52
"1494",100,98,39
"1495",0,0,44
"1496",75,85,37
"1497",100,100,39
"1498",85,85,54
"1499",100,85,73
"1500",95,-6,-9
"1501",100,100,56
"1502",50,30,60
"1503",0,0,29
"1504",100,100,-9
"1505",100,85,65
"1506",100,100,49
"1507",0,0,80
"1508",60,85,80
"1509",0,0,58
"1510",30,-6,50
"1511",0,0,42
"1512",-9,0,57
"1513",0,0,38
"1514",100,100,56
"1515",60,60,47
"1516",0,0,31
"1517",70,85,27
"1518",85,40,25
"1519",0,0,-9
"1520",0,0,49
"1521",100,100,35
"1522",6,0,62
"1523",0,0,33
"1524",15,0,49
"1525",100,85,64
"1526",0,0,38
"1527",30,30,-9
"1528",0,0,-9
"1529",0,0,30
"1530",70,60,36
"1531",85,-6,80
"1532",0,0,42
"1533",0,0,76
"1534",100,100,37
"1535",75,70,49
"1536",0,0,27
"1537",70,70,73
"1538",0,0,80
"1539",100,100,35
"1540",15,85,59
"1541",70,70,62
"1542",0,0,38
"1543",30,30,75
"1544",0,0,62
"1545",100,-9,51
"1546",30,15,24
"1547",0,0,73
"1548",100,100,72
"1549",100,99,79
"1550",85,70,41
"1551",40,30,24
"1552",100,100,35
"1553",85,-6,54
"1554",60,70,42
"1555",40,40,32
"1556",15,0,61
"1557",100,100,29
"1558",0,0,61
"1559",15,-6,41
"1560",85,100,62
"1561",85,85,72
"1562",40,15,52
"1563",0,0,77
"1564",85,60,49
"1565",0,15,25
"1566",100,100,77
"1567",0,10,31
"1568",85,85,-9
"1569",70,40,28
"1570",24,20,26
"1571",85,60,32
"1572",85,85,78
"1573",0,0,45
"1574",0,0,58
"1575",90,85,34
"1576",-9,60,56
"1577",70,60,80
"1578",100,0,27
"1579",70,70,40
"1580",0,0,39
"1581",15,0,75
"1582",70,75,50
"1583",70,60,34
"1584",70,40,39
"1585",65,68,23
"1586",0,0,70
"1587",15,15,56
"1588",0,15,36
"1589",0,0,46
"1590",100,95,25
"1591",100,100,52
"1592",0,0,31
"1593",50,-6,49
"1594",0,0,30
"1595",-9,30,73
"1596",0,0,66
"1597",85,100,35
"1598",60,70,61
"1599",85,85,79
"1600",15,30,41
"1601",0,0,-9
"1602",15,0,54
"1603",0,0,22
"1604",60,70,22
"1605",0,0,46
"1606",0,0,41
"1607",60,60,64
"1608",10,0,71
"1609",70,85,76
"1610",100,100,36
"1611",0,0,27
"1612",0,0,54
"1613",15,15,27
"1614",30,15,52
"1615",0,0,50
"1616",100,100,73
"1617",0,1,62
"1618",0,0,41
"1619",15,30,34
"1620",0,0,36
"1621",100,100,64
"1622",100,100,53
"1623",30,30,40
"1624",30,15,68
"1625",0,-9,73
"1626",0,0,67
"1627",70,75,40
"1628",100,85,62
"1629",0,0,35
"1630",0,-6,72
"1631",100,100,71
"1632",100,100,56
"1633",0,-6,41
"1634",0,0,24
"1635",100,100,67
"1636",0,0,72
"1637",0,0,70
"1638",15,0,30
"1639",10,0,59
"1640",0,0,61
"1641",0,0,63
"1642",0,0,24
"1643",69,0,34
"1644",70,60,34
"1645",10,15,38
"1646",-9,0,78
"1647",60,60,62
"1648",0,0,61
"1649",85,70,44
"1650",15,15,79
"1651",-9,50,62
"1652",100,100,72
"1653",100,100,73
"1654",10,0,77
"1655",0,0,29
"1656",100,85,51
"1657",30,15,70
"1658",0,0,70
"1659",0,0,67
"1660",100,85,44
"1661",0,0,73
"1662",30,0,65
"1663",100,100,56
"1664",85,70,60
"1665",0,0,47
"1666",0,-7,49
"1667",85,70,43
"1668",100,100,62
"1669",85,-6,61
"1670",85,85,44
"1671",0,0,25
"1672",70,100,43
"1673",20,30,54
"1674",30,50,31
"1675",25,30,60
"1676",70,51,35
"1677",15,0,47
"1678",-9,-9,80
"1679",0,0,54
"1680",100,100,28
"1681",0,0,60
"1682",0,0,63
"1683",100,85,69
"1684",0,-7,-9
"1685",0,0,62
"1686",85,100,-9
"1687",0,30,41
"1688",0,0,55
"1689",0,0,33
"1690",0,0,21
"1691",80,85,36
"1692",60,85,43
"1693",0,0,63
"1694",0,0,45
"1695",5,0,37
"1696",100,100,32
"1697",50,0,42
"1698",15,0,64
"1699",15,-6,35
"1700",0,0,34
"1701",70,85,48
"1702",0,-9,39
"1703",100,0,59
"1704",0,0,69
"1705",-9,50,51
"1706",100,-6,80
"1707",15,0,48
"1708",0,0,32
"1709",50,30,52
"1710",-9,0,-9
"1711",0,0,54
"1712",0,30,72
"1713",100,100,64
"1714",70,100,60
"1715",0,0,59
"1716",85,70,51
"1717",0,0,39
"1718",-9,0,24
"1719",60,100,80
"1720",60,50,44
"1721",15,-6,67
"1722",100,-6,-9
"1723",0,0,52
"1724",0,0,41
"1725",0,15,69
"1726",0,0,71
"1727",0,15,61
"1728",0,0,28
"1729",100,100,43
"1730",100,100,36
"1731",0,0,77
"1732",70,85,65
"1733",0,0,61
"1734",0,0,80
"1735",85,85,30
"1736",0,0,51
"1737",70,70,63
"1738",100,100,48
"1739",0,0,73
"1740",80,85,26
"1741",0,0,74
"1742",0,0,42
"1743",70,60,49
"1744",60,-6,27
"1745",0,0,53
"1746",85,100,64
"1747",100,85,61
"1748",0,0,26
"1749",100,100,66
"1750",50,15,-9
"1751",0,-6,29
"1752",85,70,57
"1753",85,100,66
"1754",30,0,25
"1755",0,0,36
"1756",0,0,31
"1757",0,0,70
"1758",15,0,42
"1759",0,0,75
"1760",0,10,57
"1761",0,0,-9
"1762",0,0,61
"1763",0,0,63
"1764",100,100,80
"1765",15,40,80
"1766",70,60,58
"1767",0,0,50
"1768",0,1,38
"1769",100,100,64
"1770",0,0,62
"1771",0,0,64
"1772",100,85,45
"1773",0,0,59
"1774",15,10,75
"1775",40,40,80
"1776",50,50,23
"1777",0,0,55
"1778",70,60,63
"1779",100,100,80
"1780",60,70,61
"1781",30,50,74
"1782",15,0,41
"1783",100,100,34
"1784",15,0,42
"1785",0,0,64
"1786",0,0,38
"1787",0,-6,32
"1788",0,0,53
"1789",100,100,65
"1790",70,40,80
"1791",0,0,71
"1792",70,85,66
"1793",0,0,63
"1794",100,85,55
"1795",100,-6,55
"1796",85,70,46
"1797",-9,0,65
"1798",-9,60,49
"1799",0,0,69
"1800",15,30,-9
"1801",100,100,57
"1802",85,-6,80
"1803",70,85,55
"1804",0,0,78
"1805",100,100,26
"1806",100,85,66
"1807",0,0,41
"1808",0,-6,29
"1809",0,0,79
"1810",0,0,71
"1811",0,0,24
"1812",90,90,63
"1813",100,100,42
"1814",0,0,43
"1815",0,30,66
"1816",0,0,56
"1817",100,100,68
"1818",50,-6,60
"1819",85,85,-9
"1820",85,-6,58
"1821",0,0,79
"1822",100,96,36
"1823",100,95,36
"1824",0,0,80
"1825",85,85,74
"1826",15,15,65
"1827",85,70,58
"1828",0,0,50
"1829",100,100,28
"1830",15,0,55
"1831",85,85,80
"1832",85,60,56
"1833",60,30,39
"1834",15,30,29
"1835",15,0,33
"1836",70,80,58
"1837",100,100,71
"1838",0,0,-9
"1839",0,0,35
"1840",0,0,49
"1841",0,0,73
"1842",15,-7,43
"1843",0,0,30
"1844",10,-6,-9
"1845",0,0,71
"1846",70,70,47
"1847",100,100,28
"1848",100,95,80
"1849",85,85,55
"1850",0,0,73
"1851",0,0,62
"1852",70,30,51
"1853",100,100,67
"1854",85,70,-9
"1855",0,0,80
"1856",0,0,30
"1857",70,85,58
"1858",0,15,27
"1859",70,80,48
"1860",0,0,60
"1861",0,0,45
"1862",0,0,40
"1863",0,0,37
"1864",75,85,27
"1865",0,0,49
"1866",-9,70,80
"1867",70,60,54
"1868",0,0,44
"1869",0,0,59
"1870",15,15,46
"1871",15,0,69
"1872",70,60,39
"1873",0,0,77
"1874",0,0,80
"1875",85,-6,29
"1876",0,0,72
"1877",40,30,50
"1878",45,45,38
"1879",30,0,53
"1880",0,0,63
"1881",70,60,70
"1882",0,0,50
"1883",75,85,26
"1884",85,40,75
"1885",0,0,-9
"1886",60,60,49
"1887",85,85,63
"1888",0,0,77
"1889",0,0,65
"1890",50,60,56
"1891",0,0,72
"1892",0,0,25
"1893",40,40,80
"1894",75,100,69
"1895",0,-6,-9
"1896",30,25,23
"1897",0,0,56
"1898",0,1,35
"1899",100,100,80
"1900",100,85,64
"1901",0,60,65
"1902",0,0,62
"1903",15,15,54
"1904",-9,100,70
"1905",0,0,38
"1906",0,0,54
"1907",75,70,72
"1908",0,0,75
"1909",85,35,66
"1910",0,0,52
"1911",0,0,56
"1912",0,0,70
"1913",70,40,68
"1914",75,80,25
"1915",50,60,22
"1916",0,0,63
"1917",100,85,80
"1918",85,85,55
"1919",30,40,35
"1920",85,85,41
"1921",0,0,68
"1922",0,0,43
"1923",0,0,68
"1924",85,70,80
"1925",85,-7,64
"1926",0,0,24
"1927",0,0,62
"1928",0,15,58
"1929",0,0,32
"1930",0,15,36
"1931",60,-6,29
"1932",60,40,67
"1933",85,85,60
"1934",40,0,41
"1935",100,100,25
"1936",0,0,30
"1937",30,0,63
"1938",0,0,67
"1939",85,85,47
"1940",70,50,54
"1941",15,0,71
"1942",0,0,45
"1943",0,0,63
"1944",-9,0,42
"1945",0,0,55
"1946",60,80,63
"1947",15,15,73
"1948",15,15,62
"1949",40,30,50
"1950",40,0,49
"1951",0,0,58
"1952",85,90,77
"1953",0,0,80
"1954",0,0,78
"1955",70,85,69
"1956",55,40,49
"1957",100,100,79
"1958",0,0,68
"1959",100,100,57
"1960",0,0,26
"1961",30,15,78
"1962",100,100,34
"1963",70,0,54
"1964",-9,50,46
"1965",0,0,72
"1966",40,30,49
"1967",100,100,51
"1968",0,0,69
"1969",-9,-6,68
"1970",0,0,68
"1971",74,70,33
"1972",15,0,29
"1973",0,0,59
"1974",0,0,42
"1975",0,0,67
"1976",0,0,63
"1977",0,0,24
"1978",0,-6,42
"1979",0,0,41
"1980",60,60,24
"1981",-9,-6,30
"1982",85,85,65
"1983",0,0,41
"1984",30,40,24
"1985",0,0,78
"1986",0,0,33
"1987",85,85,35
"1988",80,-6,42
"1989",100,100,29
"1990",100,100,74
"1991",70,-6,23
"1992",100,100,39
"1993",75,75,69
"1994",85,70,30
"1995",0,0,29
"1996",0,0,46
"1997",50,40,54
"1998",0,15,61
"1999",15,15,39
"2000",0,0,68
"2001",100,85,73
"2002",0,15,25
"2003",90,85,65
"2004",0,15,25
"2005",85,85,72
"2006",100,100,67
"2007",0,15,29
"2008",-9,30,-9
"2009",0,0,34
"2010",70,60,27
"2011",85,100,63
"2012",0,0,80
"2013",0,0,49
"2014",85,100,55
"2015",0,0,40
"2016",0,0,46
"2017",15,15,76
"2018",100,40,61
"2019",40,0,37
"2020",0,-9,80
"2021",0,0,39
"2022",0,0,64
"2023",0,0,34
"2024",85,85,80
"2025",80,85,47
"2026",90,-6,39
"2027",85,70,74
"2028",40,0,62
"2029",70,70,58
"2030",70,60,67
"2031",0,0,77
"2032",85,70,42
"2033",85,70,53
"2034",0,0,65
"2035",30,30,49
"2036",70,75,39
"2037",85,85,69
"2038",0,0,58
"2039",70,100,77
"2040",100,95,45
"2041",85,-6,39
"2042",0,0,42
"2043",-9,60,41
"2044",0,0,49
"2045",0,0,39
"2046",85,85,75
"2047",0,0,52
"2048",0,0,71
"2049",0,0,61
"2050",0,0,80
"2051",85,100,59
"2052",0,0,68
"2053",0,0,50
"2054",0,0,67
"2055",0,30,27
"2056",0,0,28
"2057",0,0,67
"2058",0,0,66
"2059",100,100,42
"2060",5,15,62
"2061",0,0,37
"2062",0,0,47
"2063",90,-6,52
"2064",60,20,58
"2065",85,85,73
"2066",70,70,75
"2067",0,0,51
"2068",85,85,24
"2069",0,0,71
"2070",100,100,68
"2071",85,85,-9
"2072",0,0,61
"2073",100,85,65
"2074",100,85,80
"2075",0,0,40
"2076",0,0,57
"2077",70,85,50
"2078",70,70,80
"2079",0,0,75
"2080",0,0,30
"2081",-9,100,65
"2082",0,0,46
"2083",0,15,44
"2084",0,0,35
"2085",0,0,80
"2086",90,90,48
"2087",100,100,39
"2088",85,70,35
"2089",85,70,31
"2090",95,90,31
"2091",60,10,25
"2092",70,85,30
"2093",30,0,75
"2094",95,86,62
"2095",0,0,72
"2096",0,0,44
"2097",60,60,-9
"2098",100,100,80
"2099",30,30,79
"2100",30,40,65
"2101",0,0,30
"2102",15,23,44
"2103",100,100,52
"2104",70,70,47
"2105",0,0,56
"2106",0,0,38
"2107",0,0,24
"2108",15,0,32
"2109",85,85,62
"2110",60,40,36
"2111",0,0,50
"2112",0,0,77
"2113",0,0,48
"2114",0,0,35
"2115",100,90,-9
"2116",0,0,59
"2117",45,65,43
"2118",100,100,39
"2119",0,0,55
"2120",85,85,40
"2121",92,90,46
"2122",-9,85,80
"2123",0,0,41
"2124",-9,85,72
"2125",40,15,27
"2126",15,40,28
"2127",0,0,80
"2128",70,70,71
"2129",15,15,44
"2130",70,70,46
"2131",60,30,42
"2132",0,0,53
"2133",70,60,54
"2134",40,30,36
"2135",0,0,50
"2136",100,-6,27
"2137",100,100,57
"2138",60,40,28
"2139",85,30,47
"2140",100,100,61
"2141",100,85,71
"2142",0,0,62
"2143",0,0,22
"2144",0,0,63
"2145",0,0,71
"2146",100,100,77
"2147",0,0,65
"2148",100,95,55
"2149",15,15,44
"2150",100,85,76
"2151",0,0,61
"2152",0,0,70
"2153",-9,-9,77
"2154",60,85,80
"2155",100,100,78
"2156",60,70,54
"2157",85,85,71
"2158",70,60,45
"2159",0,15,34
"2160",0,0,40
"2161",-9,15,80
"2162",0,0,33
"2163",90,90,53
"2164",85,70,66
"2165",0,0,37
"2166",100,100,71
"2167",0,0,47
"2168",100,40,80
"2169",0,-6,62
"2170",40,30,52
"2171",40,0,58
"2172",85,95,69
"2173",40,-6,57
"2174",65,25,45
"2175",100,0,55
"2176",0,5,33
"2177",0,0,56
"2178",85,30,67
"2179",0,0,61
"2180",100,90,75
"2181",0,0,37
"2182",0,0,23
"2183",0,0,43
"2184",0,0,48
"2185",70,70,80
"2186",0,0,44
"2187",0,0,80
"2188",50,30,41
"2189",100,100,80
"2190",85,85,69
"2191",30,40,37
"2192",0,15,53
"2193",-9,0,46
"2194",0,0,40
"2195",0,0,26
"2196",100,100,55
"2197",85,85,73
"2198",0,0,50
"2199",75,85,63
"2200",15,15,58
"2201",0,0,40
"2202",0,0,63
"2203",100,90,34
"2204",100,100,77
"2205",0,0,68
"2206",100,85,66
"2207",30,0,39
"2208",0,0,31
"2209",0,0,67
"2210",30,30,78
"2211",90,95,49
"2212",85,80,43
"2213",100,100,38
"2214",0,0,51
"2215",0,0,33
"2216",100,85,60
"2217",0,0,60
"2218",85,85,50
"2219",100,100,45
"2220",30,0,73
"2221",70,-6,64
"2222",0,0,31
"2223",75,70,35
"2224",70,85,29
"2225",70,60,47
"2226",0,0,34
"2227",100,100,31
"2228",100,100,63
"2229",0,0,36
"2230",0,0,41
"2231",30,0,80
"2232",0,0,53
"2233",85,-6,55
"2234",0,0,54
"2235",0,0,67
"2236",0,0,61
"2237",50,50,25
"2238",100,100,-9
"2239",0,0,63
"2240",0,0,43
"2241",85,85,53
"2242",70,40,64
"2243",85,-6,-9
"2244",50,40,-9
"2245",100,100,56
"2246",0,0,41
"2247",100,100,35
"2248",0,0,78
"2249",0,0,54
"2250",0,15,65
"2251",85,100,36
"2252",70,70,59
"2253",100,100,61
"2254",15,10,39
"2255",70,60,33
"2256",0,0,43
"2257",0,0,27
"2258",0,0,34
"2259",100,100,73
"2260",0,-6,34
"2261",100,85,60
"2262",-9,-9,50
"2263",0,0,-9
"2264",85,85,48
"2265",100,85,71
"2266",0,-6,23
"2267",70,70,33
"2268",0,0,65
"2269",60,85,22
"2270",50,35,54
"2271",100,100,-9
"2272",0,0,51
"2273",100,100,52
"2274",-9,85,-9
"2275",0,0,64
"2276",0,0,55
"2277",0,0,41
"2278",85,85,37
"2279",0,0,43
"2280",100,100,76
"2281",70,-6,72
"2282",70,-7,37
"2283",-9,0,59
"2284",0,0,50
"2285",100,100,57
"2286",0,0,44
"2287",0,-6,38
"2288",75,70,39
"2289",0,0,28
"2290",75,60,42
"2291",85,100,63
"2292",0,0,77
"2293",70,60,59
"2294",100,100,64
"2295",0,0,75
"2296",0,0,60
"2297",50,30,25
"2298",100,85,75
"2299",90,70,27
"2300",85,95,-9
"2301",95,100,37
"2302",70,60,25
"2303",80,70,66
"2304",0,0,64
"2305",0,0,60
"2306",40,15,26
"2307",-9,0,69
"2308",49,40,21
"2309",60,50,67
"2310",5,0,23
"2311",100,100,62
"2312",60,60,63
"2313",0,0,39
"2314",85,100,80
"2315",60,-6,23
"2316",-9,60,72
"2317",100,100,51
"2318",0,0,62
"2319",85,85,49
"2320",100,85,64
"2321",70,100,50
"2322",100,100,39
"2323",60,60,46
"2324",60,50,34
"2325",40,0,54
"2326",0,0,61
"2327",100,100,64
"2328",85,10,62
"2329",15,0,35
"2330",0,0,43
"2331",85,60,58
"2332",15,15,68
"2333",0,0,78
"2334",85,70,48
"2335",0,0,80
"2336",0,0,46
"2337",0,0,71
"2338",15,0,64
"2339",15,15,23
"2340",0,0,44
"2341",100,100,50
"2342",15,60,27
"2343",100,100,54
"2344",0,0,45
"2345",70,70,68
"2346",100,50,23
"2347",0,0,23
"2348",30,0,77
"2349",-9,0,72
"2350",100,-6,71
"2351",70,70,71
"2352",85,85,56
"2353",100,-9,-9
"2354",85,15,-9
"2355",100,100,62
"2356",15,30,35
"2357",0,0,70
"2358",85,85,29
"2359",100,70,71
"2360",100,100,36
"2361",85,100,66
"2362",0,0,58
"2363",15,15,71
"2364",0,40,42
"2365",100,100,77
"2366",60,50,43
"2367",60,40,59
"2368",15,15,32
"2369",70,70,66
"2370",65,-6,61
"2371",60,60,80
"2372",0,0,42
"2373",0,0,80
"2374",0,0,43
"2375",0,15,72
"2376",0,0,80
"2377",15,30,35
"2378",85,60,52
"2379",70,85,73
"2380",0,0,55
"2381",15,50,35
"2382",100,100,59
"2383",0,-7,55
"2384",0,0,38
"2385",15,15,51
"2386",0,0,69
"2387",100,85,33
"2388",100,100,74
"2389",75,85,32
"2390",85,100,79
"2391",0,0,76
"2392",90,75,70
"2393",0,0,62
"2394",0,0,60
"2395",50,50,35
"2396",30,15,40
"2397",0,0,80
"2398",70,90,40
"2399",90,-6,25
"2400",80,85,43
"2401",50,60,59
"2402",15,-6,57
"2403",-9,0,80
"2404",50,30,80
"2405",50,15,70
"2406",0,0,38
"2407",100,100,73
"2408",0,0,47
"2409",70,40,37
"2410",100,98,48
"2411",100,95,33
"2412",85,70,65
"2413",0,0,60
"2414",0,0,67
"2415",50,30,-9
"2416",0,0,72
"2417",0,0,22
"2418",0,0,55
"2419",40,15,62
"2420",0,70,38
"2421",100,100,52
"2422",30,15,45
"2423",100,95,40
"2424",100,100,68
"2425",80,85,53
"2426",0,0,63
"2427",85,100,80
"2428",0,0,55
"2429",85,85,71
"2430",0,0,62
"2431",0,-6,64
"2432",0,0,62
"2433",0,0,41
"2434",0,15,24
"2435",95,85,71
"2436",30,-6,39
"2437",50,-6,39
"2438",60,70,-9
"2439",60,60,56
"2440",100,100,51
"2441",70,85,79
"2442",-9,0,35
"2443",85,70,39
"2444",0,0,73
"2445",30,15,49
"2446",0,1,44
"2447",0,0,57
"2448",0,0,22
"2449",0,0,80
"2450",15,0,55
"2451",0,15,69
"2452",70,60,65
"2453",0,0,29
"2454",0,0,39
"2455",15,70,23
"2456",100,85,47
"2457",15,15,32
"2458",0,0,60
"2459",40,30,22
"2460",0,0,35
"2461",0,0,39
"2462",0,0,27
"2463",0,30,28
"2464",0,0,34
"2465",40,40,58
"2466",40,40,40
"2467",15,15,29
"2468",0,0,75
"2469",55,50,40
"2470",10,0,42
"2471",100,85,62
"2472",30,30,44
"2473",0,0,57
"2474",0,0,59
"2475",85,70,57
"2476",0,-6,36
"2477",70,40,60
"2478",0,0,62
"2479",0,0,24
"2480",15,0,55
"2481",85,85,77
"2482",0,0,80
"2483",0,0,27
"2484",0,15,51
"2485",0,15,58
"2486",100,80,-9
"2487",100,70,66
"2488",100,75,46
"2489",85,65,32
"2490",80,-7,49
"2491",0,0,40
"2492",0,0,42
"2493",15,0,80
"2494",70,60,29
"2495",100,100,53
"2496",40,15,34
"2497",30,50,32
"2498",0,0,68
"2499",0,0,37
"2500",100,100,72
"2501",0,0,62
"2502",-9,15,40
"2503",100,100,80
"2504",40,30,34
"2505",0,0,80
"2506",0,0,71
"2507",90,70,61
"2508",85,60,51
"2509",0,0,50
"2510",0,0,38
"2511",15,15,67
"2512",0,0,63
"2513",60,60,49
"2514",85,100,67
"2515",0,0,60
"2516",75,45,27
"2517",0,0,26
"2518",0,0,50
"2519",0,15,52
"2520",90,90,72
"2521",0,0,35
"2522",85,85,73
"2523",60,-6,61
"2524",85,85,59
"2525",100,100,59
"2526",85,85,36
"2527",85,70,56
"2528",40,50,31
"2529",0,0,42
"2530",85,100,37
"2531",85,100,67
"2532",50,70,79
"2533",0,0,49
"2534",90,90,37
"2535",70,70,70
"2536",50,0,58
"2537",0,-6,25
"2538",85,85,42
"2539",40,40,25
"2540",70,-6,80
"2541",70,70,55
"2542",100,100,57
"2543",-9,0,44
"2544",90,85,56
"2545",0,0,55
"2546",0,0,63
"2547",30,50,40
"2548",85,70,60
"2549",0,0,55
"2550",60,70,70
"2551",85,100,52
"2552",0,0,35
"2553",15,0,47
"2554",70,40,62
"2555",65,65,35
"2556",70,80,70
"2557",40,40,43
"2558",50,15,54
"2559",85,70,36
"2560",65,80,39
"2561",70,70,38
"2562",100,100,44
"2563",85,85,41
"2564",70,70,40
"2565",0,0,41
"2566",100,75,44
"2567",0,0,63
"2568",0,0,77
"2569",30,50,26
"2570",0,0,68
"2571",0,0,80
"2572",0,0,58
"2573",40,-9,-9
"2574",70,85,43
"2575",0,0,37
"2576",85,85,46
"2577",15,0,31
"2578",0,0,74
"2579",0,0,29
"2580",100,50,51
"2581",70,100,36
"2582",0,-7,80
"2583",85,100,35
"2584",-9,100,61
"2585",15,15,23
"2586",0,15,47
"2587",85,75,62
"2588",100,100,45
"2589",30,15,72
"2590",0,15,69
"2591",100,100,73
"2592",0,0,76
"2593",85,100,55
"2594",30,-6,70
"2595",100,100,71
"2596",0,0,72
"2597",0,0,58
"2598",0,0,35
"2599",100,100,70
"2600",0,0,71
"2601",60,15,61
"2602",0,0,-9
"2603",15,40,67
"2604",85,85,50
"2605",30,30,32
"2606",2,4,33
"2607",0,0,-9
"2608",0,0,51
"2609",35,32,54
"2610",100,100,32
"2611",0,0,58
"2612",60,60,50
"2613",0,0,59
"2614",15,50,43
"2615",0,0,34
"2616",15,15,54
"2617",0,0,55
"2618",-9,30,56
"2619",50,59,38
"2620",0,0,80
"2621",70,70,65
"2622",0,0,65
"2623",0,0,62
"2624",100,85,44
"2625",100,100,33
"2626",85,85,45
"2627",60,30,55
"2628",100,100,36
"2629",15,40,31
"2630",0,0,46
"2631",60,55,43
"2632",0,0,37
"2633",0,0,38
"2634",85,70,55
"2635",15,0,76
"2636",40,30,71
"2637",0,60,30
"2638",50,40,77
"2639",0,0,71
"2640",50,50,53
"2641",15,0,50
"2642",0,30,48
"2643",60,50,37
"2644",60,60,53
"2645",-9,100,68
"2646",0,0,45
"2647",0,0,80
"2648",85,85,65
"2649",0,0,30
"2650",0,0,66
"2651",55,40,38
"2652",0,50,40
"2653",85,60,42
"2654",15,0,24
"2655",70,70,65
"2656",85,100,68
"2657",-9,0,75
"2658",0,-9,54
"2659",0,0,39
"2660",100,100,62
"2661",70,70,43
"2662",5,1,38
"2663",0,0,60
"2664",0,0,58
"2665",60,70,80
"2666",100,-7,68
"2667",100,100,-9
"2668",0,0,80
"2669",15,-6,35
"2670",0,0,40
"2671",0,0,64
"2672",30,-6,31
"2673",85,85,62
"2674",85,70,63
"2675",0,0,55
"2676",100,100,45
"2677",85,100,64
"2678",0,0,36
"2679",85,85,59
"2680",0,0,25
"2681",70,60,43
"2682",100,100,-9
"2683",0,15,51
"2684",70,-9,52
"2685",85,90,37
"2686",0,0,49
"2687",72,70,45
"2688",40,35,26
"2689",60,60,39
"2690",100,100,68
"2691",0,0,72
"2692",80,-6,47
"2693",30,30,59
"2694",100,100,63
"2695",0,0,68
"2696",-9,-6,79
"2697",10,15,40
"2698",65,-5,47
"2699",30,0,56
"2700",70,70,40
"2701",0,0,25
"2702",70,30,54
"2703",70,0,45
"2704",70,85,33
"2705",85,75,61
"2706",0,0,51
"2707",0,0,63
"2708",70,80,50
"2709",40,40,22
"2710",0,0,29
"2711",0,0,76
"2712",60,30,64
"2713",30,0,63
"2714",60,50,39
"2715",15,50,42
"2716",0,0,24
"2717",0,0,63
"2718",100,100,75
"2719",100,100,66
"2720",90,100,50
"2721",0,5,63
"2722",85,85,38
"2723",0,0,57
"2724",0,0,28
"2725",100,70,35
"2726",50,50,58
"2727",70,60,59
"2728",40,15,57
"2729",0,0,68
"2730",0,0,22
"2731",0,0,26
"2732",60,60,69
"2733",15,0,66
"2734",0,0,67
"2735",0,15,47
"2736",85,70,41
"2737",100,100,41
"2738",0,0,36
"2739",0,0,55
"2740",-9,100,62
"2741",0,0,36
"2742",30,15,24
"2743",70,70,32
"2744",40,40,43
"2745",85,50,68
"2746",0,0,37
"2747",0,0,44
"2748",85,85,68
"2749",0,0,74
"2750",30,15,37
"2751",0,50,26
"2752",90,85,64
"2753",77,55,26
"2754",50,50,39
"2755",85,70,71
"2756",0,0,72
"2757",0,0,63
"2758",0,0,30
"2759",0,0,40
"2760",0,0,38
"2761",85,85,61
"2762",0,10,28
"2763",100,100,76
"2764",70,0,80
"2765",100,100,63
"2766",85,100,57
"2767",100,100,42
"2768",0,0,47
"2769",-9,30,50
"2770",40,0,68
"2771",0,0,65
"2772",30,60,-9
"2773",100,85,29
"2774",99,100,31
"2775",0,0,45
"2776",100,100,58
"2777",0,0,66
"2778",50,50,37
"2779",1,0,28
"2780",85,100,76
"2781",2,0,31
"2782",100,100,64
"2783",100,100,71
"2784",15,0,30
"2785",30,-6,65
"2786",0,0,70
"2787",100,100,73
"2788",0,0,37
"2789",0,0,62
"2790",85,-6,37
"2791",-9,0,76
"2792",40,30,72
"2793",40,0,50
"2794",40,30,57
"2795",50,50,25
"2796",0,0,69
"2797",0,0,40
"2798",0,0,30
"2799",40,40,38
"2800",85,85,51
"2801",70,0,68
"2802",0,0,57
"2803",85,85,55
"2804",0,0,55
"2805",85,85,68
"2806",85,-6,26
"2807",50,100,59
"2808",0,0,57
"2809",100,100,52
"2810",85,85,69
"2811",100,85,52
"2812",60,40,66
"2813",0,0,55
"2814",0,15,39
"2815",0,-6,34
"2816",100,-6,77
"2817",15,15,41
"2818",100,100,61
"2819",85,100,59
"2820",30,15,25
"2821",15,15,37
"2822",0,0,68
"2823",0,0,29
"2824",40,40,60
"2825",100,85,58
"2826",85,85,74
"2827",70,85,28
"2828",100,100,63
"2829",95,85,55
"2830",0,0,24
"2831",0,0,24
"2832",60,70,58
"2833",0,0,70
"2834",15,5,65
"2835",0,-6,40
"2836",0,0,66
"2837",0,0,60
"2838",60,50,-9
"2839",0,-6,28
"2840",40,15,33
"2841",15,-6,67
"2842",100,85,36
"2843",70,60,80
"2844",0,0,21
"2845",10,5,29
"2846",60,85,80
"2847",0,0,26
