"","ftTrumpPre","ftTrumpPost","age"
"348",0,0,32
"349",95,90,41
"350",85,85,80
"351",15,15,45
"352",0,0,56
"353",70,72,68
"354",15,10,73
"355",0,0,69
"356",0,0,73
"357",100,100,43
"358",50,50,48
"359",85,100,62
"360",20,5,41
"361",0,0,20
"362",70,-9,63
"363",15,15,34
"364",-9,-6,80
"365",85,85,76
"366",70,85,44
"367",0,-6,51
"368",0,0,69
"369",100,85,27
"370",60,70,48
"371",0,0,74
"372",0,0,72
"373",70,85,60
"374",0,0,32
"375",30,40,70
"376",70,60,50
"377",0,0,59
"378",0,0,52
"379",85,-6,67
"380",85,100,60
"381",15,20,24
"382",60,50,31
"383",85,100,39
"384",0,0,73
"385",0,0,43
"386",0,0,28
"387",0,0,70
"388",0,0,72
"389",0,0,59
"390",40,70,35
"391",100,100,26
"392",0,0,80
"393",0,0,76
"394",0,0,31
"395",60,60,24
"396",0,0,53
"397",0,0,55
"398",0,0,39
"399",30,30,32
"400",100,100,80
"401",0,-6,45
"402",100,100,40
"403",0,0,64
"404",0,0,40
"405",0,0,52
"406",0,0,67
"407",0,20,72
"408",85,65,-9
"409",75,100,79
"410",0,0,67
"411",15,30,24
"412",0,0,43
"413",0,0,52
"414",100,100,-9
"415",0,50,62
"416",66,50,50
"417",60,100,28
"418",100,100,62
"419",85,85,73
"420",95,85,33
"421",0,0,42
"422",0,0,36
"423",30,0,41
"424",0,0,51
"425",60,100,30
"426",0,0,-9
"427",100,-6,48
"428",60,60,66
"429",0,0,80
"430",85,85,49
"431",85,85,30
"432",0,0,70
"433",0,0,65
"434",0,0,57
"435",0,0,71
"436",0,-6,31
"437",0,0,40
"438",90,90,66
"439",40,-6,45
"440",85,85,68
"441",0,0,76
"442",85,-7,80
"443",85,-6,34
"444",70,60,44
"445",0,0,70
"446",0,50,-9
"447",85,85,71
"448",0,-5,37
"449",85,70,31
"450",70,100,61
"451",100,100,43
"452",0,0,53
"453",-9,50,73
"454",100,100,38
"455",0,0,73
"456",40,60,31
"457",80,80,69
"458",0,0,-9
"459",30,10,45
"460",0,0,41
"461",100,95,66
"462",20,60,41
"463",30,0,62
"464",85,60,31
"465",85,85,80
"466",85,100,46
"467",85,85,70
"468",0,0,21
"469",100,100,77
"470",85,85,66
"471",60,50,33
"472",30,0,46
"473",0,0,36
"474",50,60,68
"475",70,0,71
"476",75,40,37
"477",100,85,30
"478",0,0,79
"479",0,0,78
"480",30,40,47
"481",0,0,72
"482",0,0,71
"483",85,70,36
"484",0,0,35
"485",0,0,56
"486",15,30,64
"487",0,0,41
"488",0,0,50
"489",100,-6,77
"490",85,85,-9
"491",100,100,31
"492",0,0,61
"493",0,0,62
"494",100,100,57
"495",0,0,63
