"","V202290x","V201507x","V202073"
"341",4,38,1
"342",3,-9,1
"343",4,67,1
"344",4,80,1
"345",4,33,-1
"346",1,76,2
"347",-6,43,-6
"348",4,32,1
"349",1,41,-1
"350",4,80,2
"351",4,45,1
"352",4,56,1
"353",6,68,2
"354",4,73,1
"355",4,69,1
"356",2,73,1
"357",1,43,2
"358",4,48,-1
"359",1,62,2
"360",4,41,1
"361",1,20,-1
"362",2,63,2
"363",4,34,1
"364",-6,80,-6
"365",6,76,2
"366",4,44,2
"367",-6,51,-6
"368",4,69,1
"369",4,27,2
"370",1,48,-1
"371",4,74,1
"372",5,72,1
"373",4,60,2
"374",4,32,1
"375",4,70,-1
"376",4,50,2
"377",4,59,1
"378",2,52,1
"379",-6,67,-6
"380",2,60,2
"381",4,24,1
"382",4,31,-1
"383",4,39,2
"384",2,73,1
"385",5,43,-1
"386",4,28,1
"387",4,70,1
"388",4,72,1
"389",4,59,1
"390",4,35,-1
"391",4,26,2
"392",2,80,1
"393",4,76,1
"394",4,31,-1
"395",4,24,3
"396",4,53,1
"397",4,55,1
"398",7,39,1
"399",4,32,1
"400",1,80,2
"401",-6,45,-6
"402",7,40,2
"403",1,64,-1
"404",4,40,1
"405",6,52,1
"406",4,67,1
"407",4,72,1
"408",2,-9,2
"409",4,79,-1
"410",4,67,1
"411",4,24,1
"412",4,43,1
"413",4,52,1
"414",2,-9,2
"415",1,62,-1
"416",2,50,2
"417",6,28,2
"418",1,62,2
"419",4,73,2
"420",4,33,-1
"421",4,42,-1
"422",4,36,1
"423",4,41,-1
"424",4,51,1
"425",4,30,2
"426",4,-9,1
"427",-6,48,-6
"428",4,66,2
"429",1,80,1
"430",1,49,2
"431",4,30,2
"432",4,70,1
"433",4,65,-1
"434",4,57,1
"435",4,71,1
"436",-6,31,-6
"437",4,40,1
"438",1,66,2
"439",-6,45,-6
"440",4,68,2
"441",4,76,1
"442",-7,80,-7
"443",-6,34,-6
"444",7,44,2
"445",2,70,1
"446",6,-9,1
"447",1,71,2
"448",-5,37,1
"449",6,31,2
"450",7,61,2
"451",4,43,2
"452",4,53,1
"453",7,73,2
