"","V202290x","V201507x","V202073"
"1439",4,47,-1
"1440",4,80,1
"1441",4,50,1
"1442",4,61,1
"1443",2,43,5
"1444",3,50,2
"1445",1,53,1
"1446",4,59,1
"1447",4,69,1
"1448",4,39,2
"1449",2,60,2
"1450",4,47,2
"1451",-6,50,-6
"1452",1,80,-1
"1453",4,57,2
"1454",4,34,-1
"1455",1,59,2
"1456",4,80,2
"1457",4,63,1
"1458",4,36,1
"1459",4,31,2
"1460",4,76,2
"1461",4,61,-1
"1462",5,63,2
"1463",4,51,1
"1464",4,40,1
"1465",-7,46,-7
"1466",4,48,2
"1467",4,45,1
"1468",4,50,1
"1469",4,62,2
"1470",4,24,-1
"1471",4,67,1
"1472",1,48,-1
"1473",4,39,1
"1474",4,25,2
"1475",4,69,1
"1476",4,25,1
"1477",4,66,2
"1478",3,61,1
"1479",4,62,1
"1480",2,38,2
"1481",-6,24,-6
"1482",1,80,2
"1483",1,32,2
"1484",-6,64,-6
"1485",3,74,2
"1486",6,30,-1
"1487",4,63,1
"1488",4,41,1
"1489",4,67,-1
"1490",4,72,1
"1491",4,22,1
"1492",4,45,1
"1493",1,52,-1
"1494",1,39,-1
"1495",7,44,1
"1496",2,37,2
"1497",4,39,2
"1498",4,54,-1
"1499",1,73,2
"1500",-6,-9,-6
"1501",4,56,2
"1502",4,60,-1
"1503",1,29,1
"1504",1,-9,2
"1505",4,65,2
"1506",4,49,2
"1507",1,80,1
"1508",-2,80,2
"1509",4,58,1
"1510",-6,50,-6
"1511",2,42,1
"1512",4,57,1
"1513",4,38,1
"1514",4,56,2
"1515",4,47,2
"1516",4,31,1
"1517",4,27,-1
"1518",4,25,-1
"1519",4,-9,1
"1520",1,49,1
"1521",2,35,2
"1522",4,62,1
"1523",4,33,1
"1524",4,49,1
"1525",4,64,2
"1526",2,38,1
"1527",2,-9,2
"1528",4,-9,-1
"1529",4,30,1
"1530",4,36,2
"1531",-6,80,-6
"1532",4,42,1
"1533",2,76,1
"1534",4,37,2
"1535",4,49,2
"1536",6,27,1
"1537",1,73,-1
"1538",4,80,1
"1539",4,35,2
"1540",4,59,2
"1541",4,62,2
"1542",2,38,1
"1543",4,75,-1
"1544",4,62,1
"1545",2,51,2
"1546",4,24,-1
"1547",4,73,1
"1548",3,72,2
"1549",2,79,-1
"1550",4,41,2
"1551",4,24,1
"1552",1,35,2
"1553",-6,54,-6
"1554",1,42,-1
"1555",4,32,-1
"1556",4,61,1
"1557",6,29,-1
"1558",4,61,1
"1559",-6,41,-6
"1560",1,62,2
"1561",4,72,2
"1562",4,52,-1
"1563",4,77,1
"1564",6,49,-1
"1565",4,25,1
"1566",1,77,2
"1567",4,31,1
"1568",4,-9,2
"1569",3,28,2
"1570",4,26,1
"1571",1,32,-1
"1572",4,78,2
"1573",4,45,1
"1574",4,58,1
"1575",1,34,2
"1576",1,56,2
"1577",1,80,-1
"1578",-5,27,-1
"1579",4,40,-1
"1580",4,39,1
"1581",4,75,-1
"1582",4,50,-1
"1583",4,34,2
"1584",3,39,-1
"1585",4,23,2
"1586",4,70,1
"1587",2,56,1
"1588",4,36,-1
"1589",4,46,1
"1590",2,25,2
"1591",1,52,2
"1592",4,31,1
"1593",-6,49,-6
"1594",6,30,-1
"1595",2,73,1
"1596",2,66,-1
"1597",4,35,2
"1598",4,61,2
"1599",1,79,2
"1600",4,41,-1
"1601",4,-9,-1
"1602",1,54,1
"1603",4,22,1
"1604",3,22,-1
"1605",4,46,1
"1606",2,41,-1
"1607",4,64,2
"1608",6,71,1
"1609",2,76,-1
"1610",4,36,2
"1611",4,27,1
"1612",4,54,1
"1613",4,27,1
"1614",2,52,1
"1615",1,50,1
"1616",1,73,2
"1617",1,62,-1
"1618",4,41,1
"1619",4,34,1
"1620",4,36,1
"1621",1,64,2
"1622",4,53,-1
"1623",2,40,2
"1624",1,68,-1
"1625",4,73,1
"1626",2,67,1
"1627",4,40,2
"1628",4,62,2
"1629",4,35,1
"1630",-6,72,-6
"1631",1,71,-1
"1632",1,56,2
"1633",-6,41,-6
"1634",4,24,1
"1635",4,67,2
"1636",2,72,1
"1637",2,70,1
"1638",4,30,1
"1639",4,59,1
"1640",1,61,1
"1641",4,63,1
"1642",4,24,1
"1643",4,34,1
"1644",4,34,-1
"1645",4,38,1
"1646",4,78,1
"1647",1,62,2
"1648",4,61,1
"1649",2,44,-1
"1650",4,79,-9
"1651",1,62,2
"1652",4,72,2
"1653",4,73,2
"1654",3,77,1
"1655",4,29,1
"1656",3,51,2
"1657",4,70,2
"1658",4,70,1
"1659",4,67,1
"1660",1,44,2
"1661",4,73,1
"1662",4,65,1
"1663",1,56,2
"1664",6,60,-1
"1665",3,47,1
"1666",-7,49,-7
"1667",2,43,2
"1668",1,62,2
"1669",-6,61,-6
"1670",4,44,2
"1671",2,25,-1
"1672",2,43,2
"1673",2,54,1
"1674",6,31,-1
"1675",4,60,3
"1676",4,35,2
"1677",4,47,1
"1678",2,80,2
"1679",1,54,1
"1680",4,28,2
"1681",4,60,1
"1682",4,63,1
"1683",4,69,2
"1684",-7,-9,-7
"1685",4,62,1
"1686",4,-9,2
"1687",3,41,-1
"1688",2,55,1
"1689",4,33,1
"1690",4,21,1
"1691",4,36,2
"1692",4,43,2
"1693",4,63,1
"1694",4,45,1
"1695",2,37,-1
"1696",4,32,2
"1697",4,42,1
"1698",4,64,1
"1699",-6,35,-6
"1700",4,34,1
"1701",4,48,2
"1702",4,39,1
"1703",3,59,-1
"1704",4,69,1
"1705",2,51,-9
"1706",-6,80,-6
"1707",4,48,1
"1708",4,32,1
"1709",4,52,-1
"1710",4,-9,1
"1711",4,54,1
"1712",4,72,2
"1713",4,64,2
"1714",1,60,2
"1715",4,59,1
"1716",1,51,2
"1717",4,39,1
"1718",4,24,-1
"1719",1,80,2
"1720",2,44,1
"1721",-6,67,-6
"1722",-6,-9,-6
"1723",3,52,-1
"1724",4,41,1
"1725",4,69,1
"1726",4,71,1
"1727",6,61,1
"1728",4,28,1
"1729",4,43,2
"1730",1,36,2
"1731",4,77,1
"1732",1,65,2
"1733",4,61,1
"1734",4,80,1
"1735",1,30,2
"1736",4,51,1
"1737",2,63,-1
"1738",1,48,2
"1739",4,73,1
"1740",4,26,2
"1741",2,74,1
"1742",4,42,-1
"1743",4,49,-1
"1744",-6,27,-6
"1745",6,53,1
"1746",4,64,-1
"1747",2,61,2
"1748",4,26,1
"1749",1,66,2
"1750",4,-9,-1
"1751",-6,29,-6
"1752",2,57,2
"1753",4,66,2
"1754",6,25,1
"1755",4,36,-1
"1756",4,31,1
"1757",4,70,1
"1758",1,42,-1
"1759",4,75,1
"1760",4,57,1
"1761",4,-9,1
"1762",4,61,1
"1763",4,63,1
"1764",2,80,2
"1765",4,80,1
"1766",4,58,2
"1767",2,50,-1
"1768",4,38,-1
"1769",2,64,2
"1770",4,62,-1
"1771",4,64,1
"1772",4,45,2
"1773",4,59,-1
"1774",1,75,-1
"1775",4,80,-1
"1776",4,23,-1
"1777",2,55,1
"1778",4,63,2
"1779",1,80,2
"1780",3,61,2
"1781",4,74,-1
"1782",4,41,1
"1783",4,34,2
"1784",4,42,1
"1785",4,64,1
"1786",4,38,1
"1787",-6,32,-6
"1788",1,53,1
"1789",4,65,-1
"1790",1,80,2
"1791",4,71,1
"1792",2,66,1
"1793",4,63,1
"1794",2,55,2
"1795",-6,55,-6
"1796",1,46,2
"1797",2,65,-1
"1798",1,49,2
"1799",4,69,1
"1800",4,-9,1
"1801",1,57,2
"1802",-6,80,-6
"1803",2,55,2
"1804",5,78,1
"1805",2,26,2
"1806",2,66,-9
"1807",4,41,1
"1808",-6,29,-6
"1809",4,79,1
"1810",4,71,1
"1811",4,24,-1
"1812",4,63,2
"1813",4,42,2
"1814",4,43,4
"1815",4,66,1
"1816",4,56,-1
"1817",2,68,2
"1818",-6,60,-6
"1819",4,-9,2
"1820",-6,58,-6
"1821",4,79,1
"1822",-2,36,2
"1823",4,36,2
"1824",4,80,1
"1825",2,74,2
"1826",4,65,1
"1827",4,58,2
"1828",4,50,1
"1829",2,28,2
"1830",4,55,1
"1831",4,80,2
"1832",4,56,2
"1833",6,39,-1
"1834",1,29,-1
"1835",4,33,-1
"1836",4,58,2
"1837",4,71,-1
"1838",4,-9,1
"1839",1,35,1
"1840",4,49,1
"1841",4,73,1
"1842",-7,43,-7
"1843",4,30,1
"1844",-6,-9,-6
"1845",4,71,-1
"1846",4,47,-1
"1847",2,28,-1
"1848",4,80,2
"1849",2,55,-1
"1850",4,73,1
"1851",2,62,1
"1852",4,51,1
"1853",4,67,2
"1854",4,-9,-9
"1855",4,80,1
"1856",4,30,1
"1857",1,58,2
"1858",4,27,-1
"1859",4,48,2
"1860",4,60,1
"1861",4,45,1
"1862",4,40,1
"1863",3,37,1
"1864",1,27,2
"1865",4,49,1
"1866",1,80,2
"1867",4,54,2
"1868",4,44,1
"1869",4,59,1
"1870",4,46,1
"1871",4,69,1
"1872",2,39,-1
"1873",4,77,-9
"1874",1,80,1
"1875",-6,29,-6
"1876",4,72,1
"1877",4,50,1
"1878",4,38,2
"1879",4,53,1
"1880",3,63,1
"1881",4,70,2
"1882",4,50,1
"1883",2,26,2
"1884",4,75,-1
"1885",4,-9,1
"1886",4,49,2
"1887",2,63,2
"1888",2,77,1
"1889",4,65,1
"1890",4,56,2
"1891",2,72,1
"1892",4,25,1
"1893",4,80,-1
"1894",4,69,2
"1895",-6,-9,-6
"1896",4,23,1
"1897",4,56,1
"1898",6,35,1
"1899",4,80,2
"1900",3,64,-1
"1901",3,65,-1
"1902",4,62,1
"1903",1,54,1
"1904",4,70,2
"1905",4,38,1
"1906",4,54,1
"1907",4,72,2
"1908",4,75,-1
"1909",4,66,2
"1910",4,52,1
"1911",4,56,1
"1912",2,70,1
"1913",4,68,2
"1914",3,25,2
"1915",4,22,-1
"1916",4,63,-1
"1917",4,80,2
"1918",4,55,2
"1919",1,35,1
"1920",4,41,2
"1921",4,68,1
"1922",6,43,1
"1923",4,68,-1
"1924",4,80,2
"1925",-7,64,-7
"1926",4,24,1
"1927",4,62,1
"1928",4,58,-1
"1929",4,32,1
"1930",4,36,1
"1931",-6,29,-6
"1932",2,67,2
"1933",2,60,2
"1934",4,41,1
"1935",4,25,-1
"1936",4,30,-1
"1937",4,63,1
"1938",4,67,-1
"1939",4,47,2
"1940",1,54,4
"1941",4,71,-1
"1942",4,45,1
"1943",-5,63,1
"1944",2,42,1
"1945",4,55,1
"1946",4,63,-1
"1947",4,73,1
"1948",4,62,1
"1949",4,50,-1
"1950",4,49,-1
"1951",1,58,1
"1952",2,77,2
"1953",4,80,1
"1954",1,78,4
"1955",1,69,2
"1956",4,49,2
"1957",4,79,2
"1958",4,68,1
"1959",2,57,2
"1960",4,26,-1
"1961",1,78,2
"1962",1,34,-1
"1963",4,54,-1
"1964",4,46,-1
"1965",4,72,1
"1966",4,49,1
"1967",2,51,2
"1968",4,69,1
"1969",-6,68,-6
"1970",4,68,1
"1971",2,33,2
"1972",4,29,-1
"1973",4,59,1
"1974",4,42,1
"1975",1,67,1
"1976",2,63,1
"1977",4,24,-1
"1978",-6,42,-6
"1979",4,41,1
"1980",4,24,2
"1981",-6,30,-6
"1982",3,65,2
"1983",4,41,-1
"1984",4,24,-1
"1985",6,78,5
"1986",4,33,1
"1987",4,35,-1
"1988",-6,42,-6
"1989",4,29,2
"1990",4,74,2
"1991",-6,23,-6
"1992",1,39,2
"1993",2,69,2
"1994",5,30,-1
"1995",4,29,1
"1996",2,46,1
"1997",6,54,2
"1998",4,61,1
"1999",2,39,2
"2000",4,68,1
"2001",4,73,2
"2002",6,25,-1
"2003",4,65,2
"2004",2,25,-1
"2005",2,72,2
"2006",4,67,2
"2007",4,29,-1
"2008",4,-9,-9
"2009",7,34,1
"2010",2,27,2
"2011",4,63,2
"2012",4,80,1
"2013",4,49,-1
"2014",2,55,2
"2015",6,40,-1
"2016",4,46,1
"2017",3,76,1
"2018",4,61,2
"2019",4,37,1
"2020",4,80,1
"2021",4,39,-1
"2022",4,64,1
"2023",4,34,-1
"2024",4,80,2
"2025",4,47,2
"2026",-6,39,-6
"2027",4,74,2
"2028",2,62,1
"2029",4,58,2
"2030",4,67,2
"2031",4,77,1
"2032",4,42,2
"2033",1,53,2
"2034",4,65,1
"2035",4,49,2
"2036",4,39,-1
"2037",4,69,2
"2038",1,58,1
"2039",2,77,2
"2040",1,45,-1
"2041",-6,39,-6
"2042",4,42,1
"2043",1,41,2
"2044",4,49,-1
"2045",4,39,1
"2046",4,75,2
"2047",4,52,1
"2048",1,71,1
"2049",4,61,1
"2050",4,80,1
"2051",4,59,2
"2052",4,68,1
"2053",4,50,1
"2054",4,67,1
"2055",6,27,-1
"2056",4,28,1
"2057",4,67,1
"2058",4,66,1
"2059",4,42,-1
"2060",2,62,1
"2061",4,37,1
"2062",7,47,1
"2063",-6,52,-6
"2064",1,58,1
"2065",4,73,2
"2066",4,75,2
"2067",2,51,1
"2068",3,24,-1
"2069",4,71,1
"2070",4,68,2
"2071",3,-9,2
"2072",4,61,1
"2073",4,65,-1
"2074",4,80,2
"2075",4,40,-1
"2076",4,57,-1
"2077",4,50,2
"2078",2,80,2
"2079",4,75,1
"2080",4,30,1
"2081",4,65,2
"2082",4,46,1
"2083",2,44,-1
"2084",4,35,1
"2085",4,80,1
"2086",1,48,-1
"2087",4,39,2
"2088",4,35,2
"2089",4,31,2
"2090",2,31,2
"2091",1,25,1
"2092",4,30,2
"2093",4,75,1
"2094",4,62,2
"2095",4,72,1
"2096",4,44,-1
"2097",2,-9,2
"2098",2,80,2
"2099",7,79,2
"2100",4,65,2
"2101",3,30,1
"2102",4,44,1
"2103",2,52,2
"2104",4,47,2
"2105",4,56,1
"2106",6,38,1
"2107",4,24,1
"2108",4,32,1
"2109",1,62,2
"2110",3,36,2
"2111",5,50,1
"2112",2,77,1
"2113",4,48,1
"2114",5,35,1
"2115",4,-9,2
"2116",4,59,1
"2117",4,43,2
"2118",4,39,2
"2119",4,55,1
"2120",1,40,2
"2121",4,46,2
"2122",4,80,2
"2123",4,41,1
"2124",2,72,2
"2125",4,27,1
"2126",2,28,1
"2127",2,80,1
"2128",3,71,2
"2129",4,44,-1
"2130",2,46,2
"2131",4,42,2
"2132",4,53,1
"2133",4,54,-1
"2134",1,36,2
"2135",4,50,1
"2136",-6,27,-6
"2137",1,57,2
"2138",1,28,2
"2139",4,47,-1
"2140",1,61,2
"2141",1,71,2
"2142",4,62,1
"2143",4,22,1
"2144",4,63,1
"2145",4,71,-1
"2146",1,77,2
"2147",4,65,1
"2148",2,55,2
"2149",2,44,1
"2150",4,76,2
"2151",4,61,1
"2152",1,70,1
"2153",4,77,2
"2154",1,80,2
"2155",4,78,2
"2156",2,54,2
"2157",2,71,2
"2158",2,45,-1
"2159",4,34,1
"2160",4,40,-1
"2161",2,80,2
"2162",4,33,1
"2163",4,53,2
"2164",1,66,2
"2165",4,37,1
"2166",4,71,2
"2167",4,47,1
"2168",4,80,2
"2169",-6,62,-6
"2170",4,52,1
"2171",1,58,-1
"2172",2,69,2
"2173",-6,57,-6
"2174",6,45,2
"2175",4,55,1
"2176",4,33,1
"2177",4,56,1
"2178",2,67,1
"2179",4,61,1
"2180",1,75,2
"2181",3,37,1
"2182",6,23,1
"2183",4,43,1
"2184",1,48,1
"2185",4,80,2
"2186",6,44,1
"2187",4,80,1
"2188",4,41,-1
"2189",2,80,2
"2190",7,69,2
"2191",1,37,2
"2192",4,53,1
"2193",4,46,-1
"2194",4,40,1
"2195",4,26,1
"2196",1,55,2
"2197",4,73,2
"2198",4,50,1
"2199",4,63,2
"2200",4,58,1
"2201",4,40,1
"2202",4,63,1
"2203",4,34,2
"2204",4,77,2
"2205",1,68,1
"2206",2,66,2
"2207",4,39,1
"2208",1,31,1
"2209",4,67,1
"2210",4,78,-1
"2211",2,49,2
"2212",2,43,2
"2213",4,38,2
"2214",4,51,1
"2215",4,33,1
"2216",1,60,2
"2217",4,60,1
"2218",4,50,2
"2219",1,45,2
"2220",-2,73,1
"2221",-6,64,-6
"2222",4,31,-1
"2223",1,35,2
"2224",4,29,2
"2225",4,47,2
"2226",4,34,-1
"2227",4,31,2
"2228",1,63,2
"2229",4,36,1
"2230",4,41,1
"2231",2,80,1
"2232",4,53,-1
"2233",-6,55,-6
"2234",1,54,1
"2235",4,67,1
"2236",4,61,-1
"2237",2,25,2
"2238",1,-9,2
"2239",4,63,1
"2240",4,43,1
"2241",1,53,2
"2242",4,64,2
"2243",-6,-9,-6
"2244",4,-9,12
"2245",1,56,2
"2246",5,41,1
"2247",4,35,2
"2248",4,78,-1
"2249",4,54,1
"2250",2,65,-1
"2251",1,36,2
"2252",4,59,2
"2253",4,61,2
"2254",4,39,1
"2255",4,33,2
"2256",2,43,1
"2257",4,27,1
"2258",4,34,1
"2259",1,73,2
"2260",-6,34,-6
"2261",1,60,2
"2262",4,50,2
"2263",4,-9,-9
"2264",1,48,2
"2265",3,71,-1
"2266",-6,23,-6
"2267",4,33,2
"2268",1,65,1
"2269",4,22,-1
"2270",3,54,1
"2271",4,-9,-9
"2272",4,51,1
"2273",2,52,2
"2274",-2,-9,-1
"2275",4,64,1
"2276",4,55,1
"2277",4,41,1
"2278",4,37,-1
"2279",4,43,1
"2280",4,76,2
"2281",-6,72,-6
"2282",-7,37,-7
"2283",4,59,-1
"2284",4,50,1
"2285",3,57,-1
"2286",4,44,1
"2287",-6,38,-6
"2288",4,39,2
"2289",4,28,1
"2290",3,42,-1
"2291",1,63,2
"2292",4,77,1
"2293",4,59,-1
"2294",2,64,2
"2295",1,75,-1
"2296",1,60,1
"2297",4,25,-1
"2298",4,75,2
"2299",2,27,2
"2300",1,-9,2
"2301",2,37,2
"2302",6,25,-1
"2303",4,66,2
"2304",4,64,1
"2305",1,60,-1
"2306",3,26,-1
"2307",3,69,1
"2308",4,21,1
"2309",4,67,2
"2310",4,23,1
"2311",2,62,2
"2312",4,63,2
"2313",4,39,1
"2314",1,80,2
"2315",-6,23,-6
"2316",2,72,-1
"2317",1,51,2
"2318",4,62,1
"2319",2,49,-1
"2320",2,64,2
"2321",1,50,-1
"2322",4,39,2
"2323",4,46,-1
"2324",4,34,-1
"2325",4,54,11
"2326",4,61,1
"2327",4,64,2
"2328",-5,62,-1
"2329",4,35,1
"2330",6,43,1
"2331",4,58,-1
"2332",4,68,1
"2333",4,78,1
"2334",1,48,-1
"2335",4,80,1
"2336",7,46,1
"2337",4,71,1
"2338",4,64,1
"2339",4,23,1
"2340",4,44,-1
"2341",1,50,2
"2342",4,27,-1
"2343",4,54,2
"2344",1,45,-1
"2345",4,68,2
"2346",4,23,-1
"2347",4,23,1
"2348",4,77,1
"2349",4,72,1
"2350",-6,71,-6
"2351",4,71,2
"2352",4,56,2
"2353",1,-9,2
"2354",4,-9,-1
"2355",2,62,2
"2356",3,35,1
"2357",1,70,1
"2358",2,29,2
"2359",4,71,2
"2360",1,36,2
"2361",2,66,3
"2362",4,58,1
"2363",4,71,1
"2364",7,42,-1
"2365",4,77,2
"2366",4,43,2
"2367",4,59,1
"2368",4,32,1
"2369",4,66,2
"2370",-6,61,-6
"2371",4,80,1
"2372",4,42,1
"2373",6,80,-1
"2374",4,43,1
"2375",4,72,1
"2376",-2,80,1
"2377",1,35,5
"2378",4,52,2
"2379",2,73,2
"2380",4,55,1
"2381",4,35,2
"2382",4,59,2
"2383",-7,55,-7
"2384",4,38,1
"2385",4,51,1
"2386",1,69,1
"2387",4,33,-1
"2388",4,74,2
"2389",4,32,2
"2390",1,79,2
"2391",4,76,1
"2392",4,70,2
"2393",4,62,1
"2394",4,60,2
"2395",4,35,-1
"2396",4,40,1
"2397",4,80,1
"2398",4,40,2
"2399",-6,25,-6
"2400",3,43,2
"2401",2,59,2
"2402",-6,57,-6
"2403",4,80,1
"2404",1,80,1
"2405",1,70,1
"2406",4,38,1
"2407",1,73,2
"2408",4,47,1
"2409",4,37,1
"2410",4,48,2
"2411",4,33,2
"2412",2,65,2
"2413",2,60,-1
"2414",4,67,1
"2415",1,-9,1
"2416",4,72,1
"2417",4,22,1
"2418",4,55,1
"2419",4,62,2
"2420",2,38,2
"2421",4,52,2
"2422",4,45,1
"2423",4,40,2
"2424",1,68,2
"2425",2,53,2
"2426",4,63,1
"2427",1,80,2
"2428",6,55,1
"2429",4,71,2
"2430",4,62,1
"2431",-6,64,-6
"2432",6,62,1
"2433",2,41,1
"2434",2,24,-1
"2435",4,71,2
"2436",-6,39,-6
"2437",-6,39,-6
"2438",2,-9,2
"2439",4,56,2
"2440",1,51,2
"2441",1,79,2
"2442",4,35,1
"2443",4,39,2
"2444",4,73,1
"2445",4,49,1
"2446",4,44,1
"2447",6,57,1
"2448",6,22,1
"2449",4,80,1
"2450",4,55,-1
"2451",1,69,1
"2452",4,65,2
"2453",4,29,1
"2454",4,39,-1
"2455",4,23,-1
"2456",4,47,2
"2457",3,32,5
"2458",4,60,1
"2459",4,22,-1
"2460",2,35,-1
"2461",4,39,1
"2462",4,27,-1
"2463",1,28,-1
"2464",4,34,1
"2465",4,58,1
"2466",3,40,1
"2467",4,29,1
"2468",4,75,1
"2469",4,40,-1
"2470",4,42,1
"2471",4,62,2
"2472",4,44,3
"2473",6,57,1
"2474",4,59,1
"2475",2,57,2
"2476",-6,36,-6
"2477",6,60,-1
"2478",4,62,1
"2479",4,24,1
"2480",4,55,1
"2481",4,77,2
"2482",4,80,1
"2483",4,27,1
"2484",4,51,1
"2485",2,58,-1
"2486",-2,-9,2
"2487",4,66,2
"2488",4,46,2
"2489",1,32,2
"2490",-7,49,-7
"2491",4,40,1
"2492",4,42,1
"2493",4,80,1
"2494",4,29,2
"2495",2,53,-1
"2496",4,34,1
"2497",2,32,-1
"2498",5,68,1
"2499",5,37,1
"2500",4,72,-1
"2501",4,62,1
"2502",4,40,1
"2503",2,80,2
"2504",4,34,1
"2505",4,80,1
"2506",4,71,1
"2507",4,61,2
"2508",1,51,2
"2509",2,50,1
"2510",4,38,1
"2511",2,67,1
"2512",1,63,1
"2513",2,49,2
"2514",4,67,2
"2515",4,60,1
"2516",1,27,-1
"2517",4,26,1
"2518",1,50,1
"2519",4,52,-1
"2520",2,72,2
"2521",1,35,-1
"2522",4,73,2
"2523",-6,61,-6
"2524",4,59,2
"2525",7,59,2
"2526",4,36,-1
"2527",4,56,2
"2528",4,31,-1
"2529",1,42,1
"2530",6,37,2
"2531",6,67,2
"2532",4,79,2
"2533",4,49,1
"2534",4,37,2
"2535",2,70,2
"2536",4,58,-1
"2537",-6,25,-6
"2538",2,42,2
"2539",3,25,3
"2540",-6,80,-6
"2541",1,55,-1
"2542",2,57,2
"2543",7,44,1
"2544",4,56,2
"2545",2,55,-1
"2546",4,63,1
"2547",4,40,-1
"2548",3,60,-1
"2549",1,55,1
"2550",4,70,2
"2551",2,52,2
"2552",4,35,1
"2553",4,47,1
"2554",4,62,3
"2555",4,35,-1
"2556",4,70,2
"2557",4,43,1
"2558",4,54,1
"2559",4,36,2
"2560",2,39,2
"2561",4,38,2
"2562",3,44,2
"2563",4,41,2
"2564",2,40,2
"2565",4,41,1
"2566",4,44,2
"2567",4,63,1
"2568",4,77,1
"2569",4,26,2
"2570",4,68,1
"2571",2,80,1
"2572",4,58,1
"2573",1,-9,-1
"2574",4,43,2
"2575",4,37,1
"2576",1,46,2
"2577",4,31,-1
"2578",4,74,1
"2579",4,29,-1
"2580",4,51,2
"2581",4,36,2
"2582",-7,80,-7
"2583",2,35,2
"2584",4,61,2
"2585",4,23,3
"2586",4,47,1
"2587",2,62,-1
"2588",2,45,2
"2589",4,72,1
"2590",4,69,1
"2591",1,73,2
"2592",4,76,1
"2593",2,55,2
"2594",-6,70,-6
"2595",4,71,2
"2596",4,72,1
"2597",2,58,1
"2598",4,35,1
"2599",4,70,2
"2600",4,71,1
"2601",4,61,1
"2602",4,-9,1
"2603",4,67,2
"2604",1,50,2
"2605",4,32,1
"2606",4,33,1
"2607",4,-9,1
"2608",6,51,1
"2609",4,54,1
"2610",6,32,2
"2611",2,58,-1
"2612",1,50,2
"2613",6,59,1
"2614",4,43,-1
"2615",4,34,1
"2616",1,54,-1
"2617",4,55,1
"2618",1,56,-1
"2619",1,38,1
"2620",4,80,1
"2621",2,65,2
"2622",4,65,1
"2623",4,62,1
"2624",4,44,2
"2625",4,33,2
"2626",4,45,2
"2627",4,55,2
"2628",2,36,2
"2629",2,31,-1
"2630",5,46,1
"2631",4,43,2
"2632",4,37,1
"2633",4,38,1
"2634",1,55,2
"2635",4,76,1
"2636",2,71,1
"2637",5,30,-1
"2638",4,77,-1
"2639",2,71,1
"2640",4,53,2
"2641",4,50,1
"2642",4,48,1
"2643",2,37,2
"2644",1,53,-1
"2645",2,68,2
"2646",4,45,-1
"2647",4,80,1
"2648",4,65,-1
"2649",4,30,1
"2650",4,66,1
"2651",4,38,-1
"2652",1,40,-1
"2653",1,42,-1
"2654",4,24,1
"2655",2,65,2
"2656",1,68,2
"2657",4,75,1
"2658",4,54,1
"2659",4,39,1
"2660",4,62,2
"2661",1,43,2
"2662",5,38,1
"2663",4,60,1
"2664",4,58,1
"2665",4,80,2
"2666",-7,68,-7
"2667",4,-9,2
"2668",2,80,1
"2669",-6,35,-6
"2670",4,40,1
"2671",4,64,1
"2672",-6,31,-6
"2673",4,62,2
"2674",4,63,2
"2675",2,55,1
"2676",2,45,2
"2677",4,64,2
"2678",4,36,-1
"2679",2,59,2
"2680",4,25,1
"2681",4,43,-1
"2682",1,-9,2
"2683",4,51,1
"2684",4,52,-1
"2685",4,37,2
"2686",4,49,1
"2687",2,45,-1
"2688",4,26,3
"2689",4,39,-1
"2690",1,68,2
"2691",4,72,1
"2692",-6,47,-6
"2693",1,59,1
"2694",4,63,2
"2695",7,68,1
"2696",-6,79,-6
"2697",4,40,1
"2698",-5,47,2
"2699",4,56,1
"2700",2,40,3
"2701",4,25,1
"2702",4,54,1
"2703",2,45,1
"2704",4,33,-1
"2705",4,61,2
"2706",4,51,1
"2707",4,63,1
"2708",-2,50,2
"2709",4,22,-1
"2710",4,29,-1
"2711",4,76,1
"2712",4,64,2
"2713",4,63,1
"2714",4,39,-1
"2715",2,42,1
"2716",4,24,1
"2717",4,63,1
"2718",4,75,2
"2719",1,66,2
"2720",1,50,2
"2721",2,63,1
"2722",4,38,2
"2723",4,57,1
"2724",2,28,1
"2725",4,35,2
"2726",4,58,-1
"2727",2,59,2
"2728",4,57,-1
"2729",1,68,1
"2730",4,22,1
"2731",4,26,1
"2732",3,69,2
"2733",2,66,-1
"2734",2,67,1
"2735",4,47,-1
"2736",3,41,2
"2737",4,41,2
"2738",4,36,1
"2739",4,55,1
"2740",1,62,2
"2741",4,36,-1
"2742",4,24,1
"2743",4,32,-1
"2744",3,43,1
"2745",4,68,1
"2746",4,37,1
"2747",4,44,1
"2748",4,68,2
"2749",4,74,1
"2750",4,37,1
"2751",1,26,3
"2752",1,64,2
"2753",4,26,2
"2754",4,39,-1
"2755",4,71,2
"2756",4,72,1
"2757",4,63,1
"2758",4,30,1
"2759",4,40,1
"2760",4,38,1
"2761",2,61,2
"2762",4,28,1
"2763",2,76,2
"2764",1,80,1
"2765",4,63,2
"2766",1,57,2
"2767",1,42,2
"2768",4,47,1
"2769",4,50,1
"2770",4,68,1
"2771",4,65,1
"2772",4,-9,1
"2773",3,29,3
"2774",1,31,2
"2775",4,45,1
"2776",4,58,2
"2777",4,66,-1
"2778",4,37,1
"2779",4,28,3
"2780",1,76,2
"2781",4,31,1
"2782",1,64,2
"2783",1,71,2
"2784",4,30,1
"2785",-6,65,-6
"2786",4,70,1
"2787",1,73,2
"2788",4,37,-1
"2789",4,62,1
"2790",-6,37,-6
"2791",4,76,-1
